계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
75코코,158,2026.02.05,1번째 방문,영수증,명란치즈순두부 완전 강추입니다 고체연료로 마지막까지 치즈를 맛나게 먹을 수 있어 좋았어요 10점. 만점에 10점 매콤달칼비덮밥은 비추 달고 닭갈비 식감이 별로 충분히 데워지지않은 식감 뻣뻣한 닭갈비10점 만점에 3점 거의 남겼네요 밑반찬 2가지 백김치 짱~~ 오이지는 너무 짰어요 한 가지는 맛나게 먹어서 나름 만족요,177,True
Khzzan,38,2026.03.18,1번째 방문,영수증,너무 맛있게 질 먹었습니다!! 항상 변함없이 친절하고 맛있어요!!,36,True
069oo069,13,2026.03.17,1번째 방문,영수증,순두부랑 스키야끼 덮밥 주문해서 먹었어요! 치즈랑 명란 들어가니까 진짜진짜 맛있어요 덮밥은 고추 장아찌?인가 얹어먹으면 더 맛있구요! 혜화 또 놀러오면 꼭 다시 올게요!!,95,True
맛집조아걸,54,2026.03.20,1번째 방문,영수증,왕갈비 정말 맛있네요👍 엄마 모시고 정말 맛있게 먹었습니다ㅎㅎ,34,True
ekw****,60,2026.03.22,1번째 방문,영수증,남편이랑 혜화 연극 보러 와서 점심 뭐먹을지 고민하다가 줄서있는거 보고 맛집이라 생각해서 들어왔는데 맛집 맞네요! 담에 또 올게요~^^,75,True
극과극만리뷰씀,128,2026.03.21,1번째 방문,영수증,아니 올때마다 존맛이에요 츄릅 다음에는 막걸리랑 하이볼도. . . 🤤,38,True
nay****,14,2026.03.17,1번째 방문,영수증,유명한 명란치즈순두부찌개 진짜 맛있어요! 차돌들기름막국수도 같이 곁들여먹기 좋아요🫶,46,True
스윗팰리스,241,2026.04.09,1번째 방문,영수증,너무 맛있어서 순삭했어요~ 순두부찌개랑 흑임자 수제비 꼭 드세요!! 너무 맛있어요~,46,True
che****,36,2026.04.04,1번째 방문,영수증,가족들과 점심식사하러 왔는데 음식이 양도 충분하고 맛도 좋아요 ! 분위기도 좋아서 다음에 또 방문하고싶네요 !,61,True
pianopoem,49,2026.03.07,1번째 방문,영수증,순두부찌개 진하고 맛있어요~~색다른 느낌의 메뉴들이 있어서 좋았어요,37,True
yyb****,118,2026.04.05,1번째 방문,영수증,너무너무 좋아하는 오이지..들기름 국수랑 명란 치즈 순두부 조합이 최곱니당..,43,True
짱1972,1804,2026.02.07,1번째 방문,영수증,깔끔하고 맛있고 음식이 빨리나와서 좋아요 사장님은 친절하신데 직원분들은 그닥 친절하지 않네요,51,True
지현7911,66,2026.04.01,1번째 방문,영수증,서울여행와서 혼밥하러왔어요 ! 순두부찌개도 맛잇고 기본찬으로 나오는 오이지가 정말 맛있습니다 🥰,53,True
댄준777,240,2025.12.27,1번째 방문,영수증,11시에 문이 열려있길래 들어왔더니 11시반부터 주문받는대서 놀랐네요. 알고보니 줄서지 않고서 먹기 힘든 맛집이었대서 더 놀랐어요 ㅋㅋ 금방 자리가 꽉 차더라고요. 명란순두부찌개는 진짜 선택에 후회없이 맛있게 먹었습니다. 명란 풀기 전후 계란 풀기 전후 맛이 계속 달라지는게 재밌더라고요 ㅎㅎ 그리고 사과막걸리가 진짜 맛있었어용 사가고 싶을 정도였답니다. 다음에 또 올 기회가 있길 ㅎㅎ,216,True
그로밌,25,2026.03.25,1번째 방문,영수증,메뉴들이 퓨전인 것 같은데 맛있어서 계속 들어가네요. 순두부 추천합니다! 잘 먹고 가요👍,49,True
인혁킴,19,2026.03.29,1번째 방문,영수증,혜화 올 때마다 먹는 곳인데 명란 순두부랑 치즈감자전 너무 맛있고 분위기도 좋아요~~,47,True
kejiming,34,2026.03.28,1번째 방문,영수증,친구랑 같이 왔는데 특이한 메뉴가 많고 맛도 있어요 !! 미리 캐치테이블 예약하고 갔는데 10분 안에 입장했습니다 ㅎㅎ,66,True
김관주10,15,2026.03.29,1번째 방문,영수증,웨이팅은 길었지만 음식도 엄청 빨리 나오고 진짜 맛있습니다!!! 꼭 가보세요!! 👏👏,47,True
예진806,13,2026.03.24,1번째 방문,영수증,"평범한 일상이 특별하게 바뀌는 식당인거 같아요 너무너무 맛있는 메뉴들과 부담없는 가격, 친절하고 세련된 분위기에 자주 오고싶은 식당입니다 오늘도 너무너무 맛있게 잘 먹었습니다 !!🤍",101,True
01020102,8,2026.03.30,1번째 방문,영수증,혜화 올때마다 방문하는 맛집이에요 !,20,True
깡수s2,373,2026.03.06,1번째 방문,예약,"명란치즈순두부랑 차돌 들기를국수, 치즈김치볼 주문했어요. 메뉴들 다 넘 맛있게먹었는데 간이 살짝 센편이긴한거같아요😊",64,True
정동현3348,18,2026.04.05,1번째 방문,영수증,음식이 너무 맛있고 다들 친절하세요!,20,True
예언하다,20,2025.12.04,1번째 방문,영수증,"혼자 점심 먹으러 대학로 왔다가 웨이팅 길다고 유명한 오이지 운좋게 앉았다,, 기존에 없던 신메뉴인 미소해물 탕면 시켜 봤는데 전복, 새우, 홍합 해물이 푸짐하고 국물이 진짜 밥 말아먹고 싶은 맛; 칼칼해서 더 좋았고 매운거 좋아하시는 분들을 위해 맵기 조절도 되면 좋을듯? 1인분인데 면양도 꽤 많아요 진짜 코박고 먹었습니다 대학로에서 인기 많은 이유가 있네요🙏🏻✨",205,True
hyun****,5,2026.03.20,1번째 방문,영수증,진짜 대박맛잇어요 …. 감자전 +순두부+들기름국수조합최고 ❤︎,34,True
