계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
쪼이쪼이의 맛있는 여행,113,2025.09.06,1번째 방문,영수증,퓨전한식으로 무난하게 맛있음. 근처에 있으면 종종 갈꺼 같은데 멀리서 찾아갈 정도까지는 아님. 기대없이 먹으면 무척 맛있으니 기대치 낮추고 데이트하는 메뉴로는 추천!,92,True
아리아나아나,504,2025.08.12,1번째 방문,영수증,"얼마 전에 tv프로그램을 보는데 익숙한 혜화가 나와서 유심히 보다가 '오이지'식당이 나온 걸 보고 평소 웨이팅이 긴 걸 보고도 휙휙 지나다닌 걸 잠시 반성하며ㅋ 점심시간 땡하자마자 오이지로 내달림! 나는 시그니처메뉴 차돌들기름국수 초이스, 다른 일행은 명란치즈순두부찌개, 흑임자치즈수제비를 먹었는데 세 메뉴 모두 괜찮았다. 한옥풍의 인테리어에 워낙 소문이 자자한 메뉴라서 보통 이상은 하는 듯! 사람들이 너무 많고 서빙하시는 분들도 정신없이 다녀서 뭔가 더 시키기에도 부담스럽고 덩달아 정신없는 느낌ㅠㅠㅋㅋ",283,True
칠이잉,514,2026.02.09,1번째 방문,영수증,냠,1,True
태구사랑,130,2025.12.26,1번째 방문,예약,한옥에. 퓨전맛집 감자전 빠삭함 최고인듯,22,True
해피해피투데이,553,2025.11.15,1번째 방문,영수증,흑임자크림수제비가 궁금해서 갔는데 국물은맛있는데 수제비는 그냥밀가루라 아쉬워요 맛있었지만 막기다릴만한맛은아닌거같아요,64,True
hrh****,10,2026.01.18,1번째 방문,영수증,너무 맛있게 먹느라 사진을 못찍었어요 ㅠㅠ 인테리어도 이쁘고 사진찍기 좋아요!,43,True
발발대장,633,2025.11.24,1번째 방문,영수증,호불호 없이 즐길 수 있는 사람들이 항상 들끓는 이유가 있음,33,True
yuni2090,6,2026.03.19,1번째 방문,영수증,,0,True
dhdid211,1,2026.01.19,1번째 방문,영수증,"분위기 가성비 좋고, 친철합니다!",18,True
eog****,7,2026.01.18,1번째 방문,영수증,분위기가 너무 좋고 음식이 대부분 맛있습니다,24,True
영제이10,72,2025.08.30,1번째 방문,영수증,토요일 4시경 늦은 점저를 먹으러 들어갔어요. 그시간에도 사람이 많았어요. 메뉴가 특이하네요. 아이와 무얼 먹을까 고르다 마라차돌순두부와 스끼야끼덮밥을 주문했는데 굿 초이스! 맛있었어요:),105,True
달보드레42,4294,2025.06.09,1번째 방문,영수증,"✨️ 대학로 맛집~!! 💸 명란치즈 순두부(공기밥 포함): 15,000원 💸 차돌들기름국수: 13,000원 💸 흑임자크림수제비: 14,800원 💸 꼬막비빔밥: 12,500원 💸 일본식 넓적 냉우동: 14,000원 💸 치즈 옥수수전: 16,000원 💸 오이지 가지 강정: 16,000원 💸 공기밥: 1,000원 📱 캐치테이블 예약 가능 🚾 매장 내 남녀 구분 화장실 🤗 토요일 6시쯤 방문했는데 웨이팅 없이 바로 착석해서 주문했고, 음식이 빠르게 나와 기다림 없이 맛있게 잘 먹었어요~ 차돌들기름국수는 맛있어서 또 주문해서 먹었고, 다른 음식도 맛있었어요~ 식사 후 나올 때쯤 웨이팅이 있네요~ 캐치테이블로 예약 후 방문하시는 것을 추천드려요~",359,True
jos****,333,2025.08.13,1번째 방문,영수증,몇칠전에 TV 방송보고 꼭 가야지했던 오이지 ㆍ 기본찬으로 오이지 팍팍 무쳐주셨네요 흑임자크림수제비는 명성만큼이나 특별한 한끼 ㆍ대접 자~알 받는 수제비 ~~~ 순두부와 크림수제비의조합 환상이였습니다,111,True
hsp****,403,2025.10.10,1번째 방문,영수증,오랜만에 친구들과 비오는 대학로! 흑임자 크림수제비는 테이블마다 시켜먹는 메뉴인듯! 맛있네요.,52,True
jjyonsu75,97,2025.06.21,1번째 방문,영수증,"주말 점심엔 웨이팅이 있어서 미리 캐치테이블로 예약하고 가시는 걸 추천드립니다! 분위기도 좋고 인테리어도 이뻐서 친구끼리, 연인끼리 가면 만족도 높을 거 같아요~ 음식들도 맛있어서 색다른 퓨전한식 먹고 싶다면 오이지 추천드려요! 내돈내산한 주말 점심 든든하게 만족스럽게 잘 먹고 왔습니다!",161,True
Look50,91,2025.06.20,1번째 방문,영수증,맛있다고추천받아갔어요 식사보다는 안주느낌 가지강정 새콤하니 너무맛있고 치즈 옥수수전도 바삭하고맛있었어요 명란 치즈 순두부 살짝 매콤해서 좋았어요 맵찔이라 마라시켰음 큰일날뻔요 브레이크타임 전에 2시넘어갔더니 3시되자마자 손님 모두가 사라지셔서 급 당황했지만 음식 너무 맛있어서 또가고싶어요,161,True
tha****,24,2025.06.27,1번째 방문,예약,"친구랑 둘이서 저녁 겸 가볍게 술 한잔하러 방문했는데 감성적인 분위기에 맛있는 음식까지 더해져서 정말 만족스러웠던 저녁이었어요. 주문한메뉴 다 만족스러웠고 담에가면 또 뭐시킬지 고민할듯요ㅠ 분위기, 맛, 서비스까지 삼박자 고루 갖춘 대학로 맛집! 특히 치즈감자전은 꼭 드셔보세요. 바삭하고 고소한 맛에 계속 생각날 정도였어요. 다음에도 친구랑 또 오고 싶은 곳이에요💛",205,True
sseunDA money,1221,2025.11.09,1번째 방문,영수증,흑임자크림수제비 스키야끼덮밥 마라차돌순두부 먹었는데 전부 맛있었어요!,38,True
start05,57,2025.09.08,1번째 방문,영수증,지인들과 언제가도 만족스러운 식사를 할 수 있어요,27,True
카르페 디엠 50,634,2025.12.07,1번째 방문,영수증,"명란 치즈순두부, 일본식 넓적 냉우동, 매콤닭갈비덜밥~ 양껏 맛있게 먹고 나왔네요~ 항상 웨이팅하는것만 보다가 영업시간 마감 전에 가니까 웨이팅 없이 입장할 수 있었어요~ ㅎㅎ",98,True
Lee1191,788,2025.09.07,1번째 방문,영수증,오랜만에 방문했는데 여전히 맛있었지만 순두부찌개가 맵찔이 기준으로 좀 덜 매콤했어요..! 명란이랑 치즈가 있어서 더 매웠으면 더 맛있었을 것 같아요,82,True
올리브스카이,11,2025.08.03,1번째 방문,영수증,오랜만에 대학로에 와서 오이지 식당에 방문했습니다 워낙 유명한 곳이라 웨이팅 있습니다 캐치테이블로 웨이팅 했구요 시그니처 메뉴 명란 순두부 차돌 들기름 막국수 맛있습니다 사과 막걸리는 사과향이 짠합니다 . 탄산 강하지 않고 걸쭉한 느낌 좋아하시는 분 추천해요,144,True
채채키키,741,2025.08.27,1번째 방문,영수증,음식 맛있고 인테리어가 멋집니다!,18,True
블루3838,600,2025.08.26,2번째 방문,영수증,명란 치즈 순두부 맛있어요 양도 꽤 많아요 들기름 막국수는 달달 고소한 맛이고 닭갈비 덮밥은 닭껍데기가 좀 느끼했어요,65,True
savinavina,1763,2026.01.24,1번째 방문,영수증,오이지 맛집이네요,9,True
hy Lee,229,2025.12.05,1번째 방문,영수증,👍,1,True
lem3189,749,2025.09.06,1번째 방문,예약,대표메뉴인 명란순부두 치즈 먹었는데 맛있었어요~ 밥양도 많이 주시더라구요.,41,True
루루8211,1581,2025.08.02,1번째 방문,영수증,미디어 추천은 언제나 뽐뿌된다. 아는맛이무서움. 들기름.사과막걸리.왕갈비 추천합니다,46,True
신신신신시니신,358,2025.07.12,1번째 방문,영수증,주말 오후3시쯤가서 웨이팅없이 입장했어요 후기보고 이 두개가 많이 나오길래 시켰어요 명란치즈순두부 고소하니 맛있어요,64,True
harry0620,569,2025.12.19,1번째 방문,영수증,좀 자극적인맛,7,True
스호팬케이크,66,2025.05.26,1번째 방문,영수증,"진 짜 맛 있 어 요 더할 나위 없이 완벽한 식사! 메뉴도 독특하고 신기해서 정말 다 먹어보고 싶었어요. 기다림 없이 빨리 나왔고, 음료도 특색있고 너무 맛있었어요. 친구나 가족들과 함께 와도 좋을 것 같아요. 사실 6년쯤 전에 친구들과 왔었는데 그때 행복하게 만드는 그 맛 그대로네요. 너무 좋았어요!",169,True
동그라미V,2383,2025.08.08,1번째 방문,예약,대학로 연극보고 엄마랑 밥먹었어요 메뉴 다 맛있음👍😋,29,True
lil****,25,2025.08.30,1번째 방문,예약,다른 것도 괜찮지만 명란치즈순두부 추천합니다. 국물맛도 감칠나고 맛있어요.,41,True
쌤3317,1659,2025.11.29,4번째 방문,영수증,창경궁 들러 혜화가면 오이지 필수입니다,21,True
leo0309,52,2025.08.02,1번째 방문,예약,순두부찌개 얼큰하고 맛 쥑이네요~ 냉우동도 별미였습니다 👍,32,True
ej****,2249,2025.12.12,1번째 방문,영수증,,0,True
눈누난나비,51,2025.05.19,1번째 방문,영수증,들기름국수 명란 치즈 순두부 너무 맛있게 먹었어요 개인적으로 조금 짠 느낌 이지만 같이간 신랑은 너무 맛있다고 했어요 저는 순두부 너무너무 추천해요 첫맛은 응? 했다가 먹을수록 최고예요 분위기도 좋았어요,113,True
깜찍한투,1077,2025.04.19,1번째 방문,예약,"혜화 한식 맛집 오이지에 처음 가봤습니다 ㅎㅎ 양도 맛고 이곳에서만 맛볼 수 있는 특색있는 한식이 있어서 너무 좋았어요~! 좌석도 많고 대기가 있었지만 손님들이 잘 빠져서 웨이팅도 10분 이내로 했던 덧 같아요~! ㅎㅎ 명란치즈순두부랑 흑임자크림수제비, 치즈 옥수수전 모두 맛있었어요 ㅎㅎ 다음에 또 가고 싶어요!! ㅎㅎ",179,True
슈가라일락,1124,2025.10.10,1번째 방문,영수증,분위기 좋고. 맛도 좋네요~,15,True
삐퉁이,268,2025.07.27,1번째 방문,영수증,한옥을좋아해서 건물은맘에들었구요.전복비빔국수는 매콤하고 맛있었는데 일본식넓적우동은 이게 무슨맛이냐고~ㅋ 같이간 짝지가 궁시렁ㅋ 두가지 소스 맛이라고 말해줬어요 하나는 메밀소바 소스. 하나는 땅콩소스? ㅋ 그냥분위기로 냠냠ㅋ 나올땐 웨이팅줄ㅋ 같이간 짝지가 모이걸웨이팅하냐고 또궁시렁ㅋ,158,True
마루냥이,501,2025.05.03,1번째 방문,영수증,캐치테이블로 예약해서 갔습니다. 5번째가 되면에서 현장에서 기다리는데 20분정도 있다 들어가서 차돌 들기름 국수와 꼬막 비빔밥을 주문했습니다. 음식이 거의 바로 나와서 맛있게 먹었습니다. 두음식의 조화가 좋았고 처음 먹어보는 맛인데 정말 맛있었습니다. 재방문하고 싶은 맛집입니다.,156,True
바블의신나는세상,3173,2025.07.26,1번째 방문,영수증,대학로 오이지 들기름국수랑 명란순두부 한끼식사하기좋았어요,31,True
Choi Lu Tan,3050,2025.11.04,1번째 방문,영수증,,0,True
호이맘짱이지,172,2025.04.13,1번째 방문,영수증,웨이팅 엄청 많은데 오늘 운 좋게 바로 들어갔어요 캐치테이블로 미리 예약하셔도 좋을 듯 유명항 명란 치즈순두부 너무 맛있고 들기름국수도 담백하고 좋았어요 수제사과 막걸리 궁금해서 시켯는데 우아 사과가 다 갈아서 들어간 느낌! 막걸리 시켰더니 민증 검사하셔서 참고하세요 민증 보야달라고 하셔서 철저한 느낌이엇어요! 직원들이 바빠보이셔서 친절한 느낌은 아니였고 음식은 빨리빨리 나와요~ 음식은 100점짜리✨,225,True
Fun and happy,1177,2025.08.31,1번째 방문,영수증,오이지 대학로 맛집 일본식 넓적 냉우동 신기했어요 특이하고 맛있는집 대학로 맛집 인정👍,48,True
y소은,11,2025.08.13,1번째 방문,예약,저번에는 다른지점 방문했다가 대학로에도 있는거 알고 다녀왔어요. 명란이 들어간 순두부찌개 짭짤하니 비 오는날 짱이였습니다,67,True
영이702,48,2025.04.20,1번째 방문,예약,대학로에 연극 보러 갔다가 오이지에 들렀습니다 다행히 운좋게 웨이팅 없이 들어갔고 걸어가는 길이 너무 예뻤네요 들기름막국수와 명란순두부찌개 시켰는데 저는 들기름막국수가 너무 맛있어서 눈이 커지는 맛이었어요 순두부찌개는 치즈가 많이 딸려오는거 빼고는 생각보다 맛이 평범했어요 한번쯤 와볼만한 곳은 맞더라구요,170,True
정현희9390,1211,2025.08.04,1번째 방문,영수증,덮밥 맛있었어요.다음에는 순두부로..,20,True
다람쥐ed,368,2025.05.23,1번째 방문,영수증,명란 치즈 순두부 따듯하고 맛있어요. 차돌 들기름 국수 시원하고 맛있어요.,41,True
하늘이7351,697,2025.05.18,1번째 방문,영수증,"흑임자크림수제비,명란치즈순두부 둘 다 깔끔하고 맛있었어요^^* 번창하세요❤️",42,True
y12345678,1438,2025.07.15,2번째 방문,영수증,평일엔 웨이팅 별로 없어서 기다릴만 해요,22,True
NUE15,248,2025.03.30,1번째 방문,영수증,연극보고 저녁먹으러 갔었는데 진짜 너무 만족하고 왔습니다 저번부터 오고싶었었는데 웨이팅을 꽤 서는 알려진맛집인가봐요 약간 퓨전느낌이라 좋은것같아요 ㅎㅎ술도 같이 즐길수있는곳인것같더라구요 둘다 마라랑 크림을 좋아하는데 마라는 너무맵지도 너무 자극적이지도않은 맛있는 탕이였구요 흑임자 크림치즈수제비는 계속먹으면 느끼하지만 너무 부드럽고 식감도좋은 신비한수제비였어요 어디서도 맛볼수없었던 식사라 굉장히 오랜만에 만족하고 왔습니다 ㅎㅎ 감사합니다,245,True
모찌김,231,2025.03.29,1번째 방문,예약,존맛임 갈 때마다 항상 웨이팅 있었어요 캐치테이블 앱 깔아서 방문 20분 정도 전에 웨이팅 해두는 거 추천합니다! 명란치즈 순두부랑 흑임자크림수제비 먹었어요! 이전에 왔을 때 차돌들기름 국수도 먹어봤는데 셋 다 정말 정말 맛있습니다. 긍데 흑임자크림수제비는 많이 느끼해서 꼭 중화가능한 메뉴와 함께 시키십셔 최애메뉴는 순두부입니다 진짜 존맛,190,True
수산64,402,2025.07.19,1번째 방문,영수증,들기름막국수 맛있었어요! 이후로도 생각나더라구요,26,True
신2679,696,2025.05.23,1번째 방문,예약,맛도 가격도 괜찮았습니다 퓨전 느낌이고 음식도 빨리 나와서 좋았습니다 한옥 개조한 내부도 마음에 들었어요,58,True
foodie써니,1841,2025.05.04,1번째 방문,영수증,"캐치테이블 필수. 순두부,차돌들기름파스타, 감자전, 사과막걸리 먹었어요. 모두 맛나요. 그중에서도 감자전 바삭하니 막걸리안주로 굿",72,True
히트4242,1652,2025.04.06,1번째 방문,영수증,퓨전 한식집 젊은 친구들을 위한 퓨전 음식 명란 치즈 순두부 차돌 들기름국수 차슈 김치덮밥 전복 비빔국수 정말 다 맛 좋아요 다른 음식들도 다 맛있을것 같아요,88,True
주먹밥 브이,3264,2025.12.29,1번째 방문,영수증,굿,1,True
지니온리,537,2025.03.02,2번째 방문,영수증,"주말 저녁 7시 반쯤 방문했는데 웨이팅 2번이라 금방 들어갈 수 있었습니다! 차돌들기름국수, 흑임자크림수제비, 차돌숙주오꼬전 주문했어요! 여자 둘이서 먹었는데 양이 많았어요ㅜㅋㅋㅋㅋㅋㅋㅋ 오꼬전 말고는 두개 메뉴 다 5분 정도만에 나온 거 같아요! 국수는 진짜 고소하고 차돌 토핑도 많았어요 수제비는 흑임자보다는 크림소스 맛이 센편이었지만 부드러웠어요 숙주오꼬전은 차돌이 제육볶음의 매콤한 스타일로 얹어져있어서 느끼할 수 있는 전이랑 먹으니까 조합이 좋았어요 안주용으로 좋은 거 같아요!",272,True
Jruek,24,2025.07.26,2번째 방문,영수증,대학로에서 인기가 많고 리뷰도 좋아서 한번 가봣습니다. 일단 음식은 진짜 빨리나와요 이거는 너무 좋아요 하지만 가게가 너무 덥네요 웨이팅 하면서 밖에서도 너무 더운데 기다리고 순서가 되서 안내받앗는데 너무 더워요 가게가 에어컨을 제일 쎄게 한건지 안한건지 직원한테도 너무 덥다고 에어컨좀 쎄게 해달라고 했는데 이게 제일 쎈거다 짜증나는 말투로 말하고 저희도 밖에 더운데 여기 가게 먹어보고 싶어서 기다린건데 가게도 더우면 다시는 오고싶지 않겟죠? 맛도 그냥 그랫고 그냥 빨리먹고 나왓네요 에어컨을 바꾸시던가 아니면 더 설치를 하시던가 하면 좋겟네요,306,True
개앵쓰,93,2025.02.09,1번째 방문,영수증,"🍎 특별한 메뉴 가득! 색다른 한식 맛집 오이지 🍎 🥕 주문메뉴 1️⃣ 명란 치즈순두부 명란 가득, 부드럽게 녹은 치즈와 계란 한 알이 풍덩 담긴 순두부는 추운 날 ⭐️필수로⭐️ 주문해 줘야 하는 메뉴이다. 식사하는 동안 식지 않게 먹을 수 있도록 고체연료가 함께 제공되어 끝까지 따뜻하게 먹을 수 있었음. 맵기는 진라면 매운맛을 먹을 수 있다면 편안하게 먹을 수 있을 정도의 맵기인 것 같다! 2️⃣ 흑임자크림수제비 처음보는 조합의 메뉴였던 흑임자크림수제비! 너무 궁금해서 고민 없이 주문했다. 흑임자의 꼬숩한 맛이 크림과 잘 어울렸음. 흑임자 가루 많은 부분의 크림 잔뜩 퍼먹었다❣️ 한가지 아쉬운 점이 있다면 수제비의 쫀득쫀득 씹는 맛이 없었다 3️⃣ 수제 사과 막걸리 사과의 기분 좋은 달달함에 꿀꺽꿀꺽 마셨다🍎",402,True
jt****,596,2025.10.25,1번째 방문,영수증,자주 방문할듯 합니다:),13,True
멍구5372,10,2025.08.24,1번째 방문,영수증,화장실 냄새인지 하수구 냄새인지 모를 무언가가 너무 강력하게 코를 자극하네요 먹는내내 힘들었어요 개선해주세요.,61,True
토리뷰,951,2025.02.13,1번째 방문,영수증,"목요일 오픈 10분 전에 도착해서 바로 입장했어요! 가장 유명한 차돌들기름국수, 명란치즈순두부를 시켰고, 떡볶이를 좋아해서 차돌떡볶이도 시켰어요! 차돌들기름국수는 느끼하지 않고 맛있어서 꼭 먹어 보면 좋을 것 같고, 명란치즈순두부는 태안에서 먹었던 게국지 맛도 나고 단맛이 적절히 어우러져 맛있었어요. 차돌떡볶이는 맵지 않고 달달하니 괜찮았는데, 떡볶이는 맛집이 많으니 다른 곳에서 드세요 ㅎ 제 개인적인 생각으론 웨이팅 30분 이내면 충분히 먹을 만하다고 생각해요. 간이 세고 단 음식을 좋아하시는 분들은 웬만한 메뉴 다 잘 먹을 것 같습니다😉",305,True
Daria7,715,2025.06.28,1번째 방문,,웨이팅이 없어서 시간 절약되니 좋더라고요. 밑반찬이 없는게 좀 아쉽지만 대체로 맛은 좋았어요~ 반찬 오이지 맛있어서 몇번 리필해서 먹었네요. ㅎ,80,True
Soo8922,840,2025.05.07,2번째 방문,영수증,깔끔하고 맛있어요 모든테이블이 다 이렇게 주문 ㅋ,27,True
cailisin,428,2025.02.15,1번째 방문,영수증,서울대병원 옆에있는 골목길을 걷다보면 분위기 좋은 가게들이 몰려있다. 그중에 늘 엄청난 웨이팅을 자랑하는 한곳인 바로 이곳 오이지! 우선 캐치테이블 웨이팅을 걸어놓고 편안하게 대학로를 크게 한바퀴 돌아다니며 구경하고와도 웨이팅이 꽤 오래걸리는 곳이다. 순번이 되어 들어가면 자리를 바로 안내해주신다. 이곳에 오면 많이 시키는 명란 치즈 순두부와 차돌 들기름 막국수를 하나씩 주문하고 수제 사과 막걸리도 가볍게 1잔 주문! 순두부는 명란의 짭쪼롬함과 듬뿍 들어간 치즈의 고소함이 느껴지는 칼칼한 찌개의 맛이였다. 짭.고.칼? 의 조화가 적절했는데 공기밥은 필수! 들기름 국수는 약간은 슴슴하며 담백한 맛을 보여주었다. 약간은 극과 극의 메뉴 주문이였지만 의외로 두개가 어울리는 가벼운 한끼 식사였던것 같다.,394,True
OooOoO,211,2025.02.15,1번째 방문,예약,명란치즈순두부 대표메뉴이길래 먹었는데 엄청 맛있어요! 살짝 매콤해서 맛없없 조합.. 또 먹고 싶은 메뉴예요. 치즈가 많아서 떠먹기 좀 힘들긴 한디 감안하고 먹을 만합니다. 차돌온국수는 잔치국수 느낌이라 뜨끈하고 좋았고요. 치즈김치주먹밥?도 괜찮았습니다.,141,True
양배 츄,419,2025.06.19,2번째 방문,예약,크림수제비 먹다보니 좀 느끼해요!,18,True
불멍친구,1186,2025.05.25,1번째 방문,영수증,명란치즈순두부찌개 맛나요,13,True
아이캔이야,544,2025.02.10,1번째 방문,영수증,우연히 근처에 갔다가 오픈런 대기줄 보고 들어갔어요 음식 비주얼도 좋고 맛도 독톡합니다. 가장 많이 주문하는 메뉴는 아닌것 같지만 메뉴 선택 잘한것같아요 다른 메뉴가 궁금해서 또 올 것 같아요 잘 먹고 갑니다,116,True
sssriiiiii,580,2025.04.20,1번째 방문,영수증,오픈 전부터 많이들 기다리길래 가봤어요~ 크림수제비랑 순두부찌개 먹었는데 둘다 맛있었어요!,50,True
Tc79,2384,2025.08.21,1번째 방문,예약,good,4,True
Europa,147,2025.02.08,1번째 방문,영수증,대기가 길어서 힘들었어요 ㅠ.ㅠ 흑임자크림수제비는 크림 스파게티 느낌으로 국물이 고소했습니다. 차돌들기름국수는 느끼하지 않고 상큼해서 맛있었습니다. 대기가 길었지만 음식은 빨리 나와서 다행히 예매한 공연에 늦지 않게 여유있게 먹을수 있었습니다.,136,True
겸갱이,1075,2025.03.09,1번째 방문,영수증,연극보고 들린 곳인데 웨이팅이 긴만큼 맛도 좋아요 분위기도 좋고 :) MZ들이 딱 좋라할만한 맛도 분위기도 다 가진 곳 같아요 !!,73,True
오스틴46,237,2025.06.29,1번째 방문,예약,순두부 와 들기름 막국수가 추천메뉴인걸 끄덕이게 됩니다. 조화로운 맛이 좋습니다,44,True
푸우90,13,2025.09.13,1번째 방문,예약,너무너무 맛있었어요,10,True
annproject,491,2025.04.07,3번째 방문,영수증,언제 먹어도 맛있어요~~~맛있는 한식 퓨전 맛집!!,28,True
소느느먹자,1857,2025.08.12,1번째 방문,영수증,,0,True
육회참깨통깨,339,2025.02.08,1번째 방문,영수증,차돌들기름국수 명란치즈순두부 주문했습니다 :-) 앞에 13팀정도 있었고 30분 이내에 순서가 왔던 것 같습니다 주문한지 얼마 안돼서 메뉴가 나왔고요 소주는 팔지 않았습니다 순두부찌개는 명란을 풀어서 먹는거였는데 제가 평소에 간간하게 먹는데도 좀 간이 셌습니다 차돌 들기름 국수는 들기름 향이 많이 나서 좋았고 중간에 들깨가 씹혀서 식감도 좋았습니다 위에 고기도 맛있었어요 다만 달기까지 해서 약간 느끼했습니다 잘 먹었습니다,236,True
파아란하늘508,1219,2025.08.20,1번째 방문,영수증,,0,True
MOBIUS STRIP,76,2025.04.20,1번째 방문,예약,대학로 공연보러갔다 들렀어요~ 맛있게 잘 먹고가요~,28,True
꿀단지4개,1082,2025.03.02,2번째 방문,영수증,지난 초봄에 방문했던 기록을 영수증을 이제야 찾아서 올립니다! 가족끼리 서울 나들이 갔던 날 방문햇어요. 고딩이 따님이 인스타에서 봤는지 꼭 가고 싶다고 해서 출발전부터 리스트에 넣어뒀구요. 사실 저는 두번째 방문이었어요~^^ 대학로 맛집 답게 특별한 메뉴로 맞아준 오이지.. 맛있게 잘 먹었습니다만~ 가족 식사한끼 보다는... 친구와 술한잔 곁들인 식사한끼 한 날이 더 행복했던 거 같아요..^^,222,True
paekku666,585,2025.04.11,1번째 방문,영수증,맛집은 이유가 있는법! 아이들도 모두 좋아하는 메뉴!,29,True
tnfk422,351,2025.01.26,1번째 방문,영수증,짱맛 짱맛 짱맛 너무 맛있어요 무조건 담에 또 갈 곳. 처음 간 곳인데 담에 갔을 때도 이 감동이 그대로만 완전 최고 맛집될 거 같아요. 크림수제비 생각보다 많이 안 느끼했고 명란순두부 치즈랑 같이 있으니까 더 맛있었어요 가지튀김도 생각보다도 더 맛있었고 음식 여러개 시키면 하나는 빠지는 게 있는데 오이지는 다 음식이 맛있네요 간도 딱이에요 조화도 좋고👍,199,True
솜사탕92,783,2025.03.19,4번째 방문,영수증,음식 하나하나 다 맛있어요,14,True
뮨123,1900,2025.07.31,1번째 방문,예약,맛나용,3,True
불량감자7609,1542,2025.03.15,1번째 방문,영수증,차돌들기름국수는 들기름과 차돌에 궁합이 좋았어요 순두부는 좀더 뜨겁게 나왔으면 좋겠습니다 김치볼은 기본은 합니다,62,True
거북이냠,141,2025.01.23,1번째 방문,영수증,"명란순두부는 담백하고 간이 적당하며 치즈랑 순두부, 명란이 넘 국물이랑 잘 어울렸어요. 먹고 난뒤 투머치 느낌이 없는 깔끔한 맛! 들기름국수는 아! 찐맛! 집에서도 생각났어요. 한동안 만들어 먹을것 같아요! 통들깨가 오독오독 톡톡 터지며 고소한것이! 또 가도 좋을 집! 우린 5시 45분쯤 갔다가 30분 웨이팅! 근처 올영 있으니 한바퀴 돌고 오면 딱 맞게 알림 와요! 단! 호출후 1분간 입장 안되시면 자동 취소 되니 늦지마세요! 입구 풍경이 이뻐서 기다리는 맛도 괜츈. 밑반찬 오이지는 맛이가 없었다는ㅋ ㅋㅋㅋㅋㅋ",289,True
도쿄바나나,779,2025.04.04,1번째 방문,영수증,유명한 곳이라 방문했는데 순두부찌개 추천!! 너무 맛있어서 밥2공기 각!!,41,True
jj8932,78,2025.04.01,1번째 방문,영수증,맛있게 잘 먹었습니다~! 잣 막걸리도 맛나네요👍,26,True
숭애옹,144,2025.03.08,1번째 방문,영수증,혜화 웨이팅 맛집답게 무조건 웨이팅이어도 후회 없어요 ㅎㅎ 무조건 명란치즈순두부 시켜드세요 술은 살구 맛도리였어요,63,True
찡찡씨,75,2025.01.11,1번째 방문,예약,"방문 전 부터 뭘 먹을까를 진짜 많이 고민 했던 것 같아요ㅋㅋ 결국엔 명란치즈순두부, 흑임자크림수제비, 가지떡강정, 사과 막걸리 주문 했는데 너무 탁월한 선택이었어요♡ 특히 가지떡강정ㅠㅠ 칠리소스랑 넘나 잘 어울렸어요!! 음식도 빨리 나오는 편이고, 직원분들도 친절하시구! 담에 대학로 방문하게 되면 다른 메뉴도 도전해 보고 싶어요!! *캐치테이블 예약은 필수 인 것 같아요ㅎㅎ",211,True
zhu79,2408,2025.09.05,3번째 방문,영수증,..,2,True
해피맥스,456,2025.03.02,1번째 방문,영수증,양 적당하고 맛있고. 순두부찌개는 생각보다 치즈가 많고 끓어먹으니 끝까지 늘어지는 치즈를 먹을 수 있음. 밥은 일부러 찬밥 느낌인 건지? 사과막걸리에 사과향이 잔뜩,91,True
SE1303,1594,2025.12.06,1번째 방문,영수증,좋아요,3,True
justin park,350,2025.04.14,1번째 방문,영수증,무난한 가성비 음식. 순두부는 두부자체가 차가웠음.밑반찬이 조금 신경쓰면 좋을듯. 주차는 안됨.,53,True
뼛속까지회사원,751,2025.03.15,1번째 방문,영수증,명란 순두부는 맛있고 들기름 국수는 별로였어요. 별미로 먹을만한 집인 것 같아요-,45,True
기쁨이486,1809,2025.06.04,1번째 방문,영수증,차돌 들기름 국수. 흑임자 크림 수제비 모두 맛있었어요.,31,True
dor****,118,2025.02.08,1번째 방문,영수증,마지막 한자리 있어서 기다림없이 입장했어요. 차돌들기름국수 차가운데 맛있고 명란치즈순두부에 밥말아서 먹으니 든든합니다. 사과막걸리는 주스같아서 맛있어요. 재방문하고 싶어요~,96,True
밍 소,142,2025.01.06,1번째 방문,예약,"전부터 와보고 싶었는데 항상 웨이팅이 있어 못 오다가 오늘 월요일 점심이라 그런지 웨이팅이 없어 예약 안 했는데도 안 기다리고 바로 들어왔어요! 명란 치즈 순두부랑 차돌 온국수 시켰는데 음식도 빨리 나오고 맛도 너무 맛있었어요!👍🏻 명란 치즈 순두부는 치즈가 잔뜩 들어가 있어서 다른 순두부찌개랑 차별화된 맛이고🧀, 차돌 온국수는 온 국수라 그런지 뜨겁진 않고 약간 다듯하게(따뜻🙅🏻‍♀️) 나오는데 차돌이랑 같이 먹으니 심심하지 않고 맛있었어요!😋 캐치테이블로 예약하고 방문해도 되지만 예약을 안 했다면 월요일 점심을 노리면 좋을 듯합니다😉",303,True
