계정 ID,리뷰 다는 사람 레벨,방문 날짜,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,별점,계정의 별점 평균,계정의 리뷰 수
붐,실버 레벨,2026-03-03,2026.03.03. 맛 친절 맛있는데 평일 점심 대기 삼십분은 있어요 ㅋㅋ 근처 사진 근처 사진 위치기반 0,61,1,,4,122
빵떠억,블루 레벨,2026-02-23,2026.02.23. 이젠 너무나 평범한 측에 속한.. 생선까스가 더 맛있다 근처 사진 근처 사진 위치기반 1,61,1,,3.8,401
성현,브론즈 레벨,2026-02-09,2026.02.09. 튀기는 온도 잘못맞춰서 그런지 시간을 잘 못맞췄는지 반쯤먹었을때무터 튀김바닥이 축축했어요 다른지점에서먹었을때 맛있던기억에 방문한건데 실망스러워요 근처 사진 위치기반 0,105,1,,3,4
미식연습생K,골드 레벨,2026-02-09,2026.02.09. 요즘 대부분 돈카츠집들이 상향평준화되서 그런지 특별함은 못느꼇습니다 다만 찍어먹는 트러플 소금이 맛있었지만 양이 적엇고 셀러드소스도 양이너무 적었습니다 근처 사진 근처 사진 위치기반 1,115,1,,3,273
