계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
Sarcasm,1242,2026.03.26,1번째 방문,영수증,대학로에서 공연이 있어서 놀러왔다가 7시쯤 들어왔는데 다행히 웨이팅은 없었어요😁 2명이서 A세트 시켰는데 등심 안심 새우 카레까지 골고루 맛있네요🙊 간만에 카츠 육즙에 감동받은 저녁이었습니다👍🏻👍🏻👍🏻,112,True
grace0302,106,2026.03.26,1번째 방문,영수증,"안심, 스페셜 등심, 치즈카츠 시켰습니다! 평일에 17시에 대기없이 바로 입장했어요 너무 맛있어요!! 스페셜 등심 너무 느끼하지않고 맛있었고 안심은 첫입은 갸우뚱했는데 촉촉하고 부드럽고 맛있었어요ㅎㅎㅎ",112,True
x400400,13,2026.03.26,1번째 방문,영수증,돈카츠의 기준을 세워주는 곳. 겉바속촉의 정석입니다. 안심 카츠는 꼭 드셔보세요. 고기 잡내 하나 없고 밑반찬까지 정갈해서 기분 좋게 식사했습니다.,82,True
ordinarymoment,308,2026.03.25,1번째 방문,영수증,꼭 가야한다고 추천 받아 오게 됐는데 정말 맛있어요ㅎㅎ 오후 오픈 조금 전에 도착해 걸어가는데 저 멀리 줄 서있는게 보여서 저기구나 했어요ㅎ 등심 안심 생선카츠 카레 다 너무 맛있고 반찬도 좋고 특히 소금이 넘 맛나요 ㅎㅎ 돈까스들 중에 안심이 특히 맛있던 기억😋,147,True
도토리네39,33,2026.03.24,1번째 방문,영수증,대학로 돈카츠 맛집 정돈 본점 방문. 2인 세트(안심+등심+새우+카레) 구성이 합리적이고 양도 넉넉합니다. 특히 안심의 부드러움과 새우카츠의 압도적인 크기가 인상적이었어요. 잡내 하나 없이 깔끔하게 튀겨내어 마지막 조각까지 맛있게 먹었습니다. 재방문 의사 200%입니다!,151,True
jw****,45,2026.03.14,1번째 방문,영수증,"다이닝코드 대학로 1위 맛집이라 일부러 찾아갔습니다 돈까스는 기대한만큼 정말 맛있습니다 그리고 반찬, 국물 하나하나 정성이 담겨있어서 너무 만족합니다",83,True
용용투어매니저,24,2026.03.13,1번째 방문,영수증,"정돈은 대학로에서 제가 제일 좋아하는 돈까스 집이에요. 고기 상태가 넘 좋고 사이드 반찬들도 좋아요. 특히 안심 부드러워요~:) 처음에는 비싸다고 생각했는데, 요즘은 외식비 다 올라서 이만한 가성비 집이 없더라구요.ㅎㅎ 또 올게요^^",130,True
doyoung13,70,2026.03.12,1번째 방문,영수증,"오랜만에 만족스러운 식사를 한 느낌이에요. 우연히 찾아온 돈까스 집인데, 메뉴 선택이 완벽했습니다. 돈까스 스페셜 꼭 드세요!",70,True
유캔디바이드,116,2026.03.12,1번째 방문,영수증,홍대 정돈점을 이용한 후 우연히 발견한 정돈 본점 확실히 더 탁월했던 것 같습니다. 특히 등심은 꼬들꼬들한 식감까지 느껴져서 부드러운 안심과 조화가 너무 좋더라구요! 게다가 매장 식사 후 카츠샌드 등 포장하면 20% 할인까지!! 대학로 가시는 분들께 꼬옥 추천합니다!!,150,True
음식저장일지,233,2026.03.12,1번째 방문,영수증,"혜화 맛집 대학로 정돈 돈까스집 방문 했습니다. 새우 돈카츠 드셔보시길 추천합니다. 새우튀김에서 새우의 진한 향이 묻어나오고 돈카츠도 맛있습니다. 소금은 트러플소금 , 마늘?소금 와사비랑 곁들여 먹으면 맛있습니다 ! 추천이요!",126,True
